#Time	vx	vy	vz
92.850883104	193.115801814528	-1.5205968646821	-164.984759817925
92.858321234	204.35224573035	-1.47886493620589	-150.84422349306
92.862542744	211.772564793164	-1.65817444468872	-140.234181608003
92.871437334	221.033408761266	-1.46156374053795	-125.132341786006
92.877463454	229.169017543627	-1.49349830404976	-109.523208963644
92.882170074	234.350516559104	-1.48726529094583	-97.9470427323185
92.886836204	238.31301814865	-1.50017187683458	-87.8672099289083
92.891372434	242.272093385201	-1.54313435277308	-76.2749265798728
92.900244474	246.84280723166	-1.57799054851242	-59.8509272328827
92.909051194	250.831154978113	-1.47614532128338	-39.9694733147547
92.917751984	253.42538018979	-1.49411788774086	-17.009957491198
92.922067334	253.976964103972	-1.62211564664896	-3.01250048663261
92.926715494	253.863949146316	-1.50597257968109	8.17527971827055
92.933266624	252.933463387234	-1.52645421476984	23.2021040644898
92.940375554	250.811409373032	-1.54735025412354	40.0904384023069
92.945020224	248.456458866784	-1.722401794571	52.7485549587204
92.949700384	245.718252614173	-1.49567632025975	64.3140817711889
92.958267364	240.691445123344	-1.51745333976867	81.1253900876438
92.967882404	233.280554864507	-1.56005721041808	100.467684350921
92.972855394	225.216710758201	-1.60869079113054	117.434427752488
92.980842484	217.100318501441	-1.502424349491	131.837736667832
92.990576504	205.875696487036	-1.64371813562485	148.756491274065
92.996537144	193.603663773178	-1.50990725646334	164.412123481558
93.001764084	183.854899646986	-1.53052986178601	175.245669174439
93.010050714	171.963857420845	-1.56879308524256	186.927729926237
93.013424094	163.041029423268	-1.48219117657597	194.759920601982
93.019544704	152.762576403754	-1.63382434656388	202.920983843273
93.026610044	138.563710008661	-1.55689561807421	212.870091780413
93.031714664	126.944051172557	-1.5672105083037	219.99717510306
93.036618434	115.625136374446	-1.42747081943716	226.152162679468
93.041469854	104.093277470627	-1.64900241537684	231.684839360367
93.046261504	93.2872615305252	-1.46087434164089	236.244250676855
93.055534874	77.8573904941712	-1.61753581359092	241.767686271381
93.060088744	62.5841454815667	-1.53715445042556	246.164305560831
93.071079084	42.0368854562219	-1.54681180250124	250.492523075702
93.077850034	20.8242873219953	-1.47689981007039	253.140627446115
93.086763604	0.560941969655222	-1.57063751503637	253.994523860117
93.095812824	-20.4437690265188	-1.54709603443956	253.171215350021
93.100367904	-36.4427806631964	-1.53674376290544	251.36737264675
93.109608564	-55.1908749355285	-1.62326102751563	247.926067602545
93.114265974	-70.8548769733915	-1.50298223882901	243.912546187183
93.119008274	-81.39512080533	-1.47607732030349	240.600603209538
93.123841054	-92.0793736616145	-1.65535952650151	236.716412289639
93.128771284	-104.66043166343	-1.62264235137157	231.429365364292
93.136395164	-118.443627129496	-1.44283488197554	224.688741165917
93.145337444	-135.87137331068	-1.56559607106989	214.59849002732
93.152872244	-152.227080865891	-1.59261113373215	203.323354739796
93.161645484	-168.808748236968	-1.59576129325918	189.781610948382
93.169650274	-182.390816297595	-1.49910259970631	176.769181548694
93.175555724	-194.735503465783	-1.52401698364532	163.069817250045
93.181159794	-203.602061287969	-1.60597594355108	151.853947551324
93.186758244	-211.665728907109	-1.60758781448443	140.396002464968
93.193211774	-219.569788870552	-1.54953979442845	127.682079060929
93.198108534	-226.067433444382	-1.42951403262131	115.790636642242
93.202896774	-231.818050815352	-1.67076072659621	103.79601013985
93.207646024	-236.247878348766	-1.4739172446012	93.2779056225516
93.216883254	-241.739240763406	-1.62386413410266	77.9454784369245
93.221343544	-246.172278893911	-1.56940432810278	62.551972505829
